Product Name,Type,Price ,Quantity,Description,Product Image
Cubical Wine Rack Cabinet,Cabinet,780,2,"* Cubical wine rack sideboard from MOVO, a popular Swiss brand in the 90s.
* Condition: 8/10
* Minor scratches and chipped corners on the bottom left of cabinet. 
* Originally from a local resident.
* 78 (H) x 94 (W) x 35 (D)

Delivery method:
Only to ground level or lift-landing floor which this item can fit into your service lift.",
Java Antique Rose Gold,Mirror,320,3,"* Mango Wood mirror from Java, Indonesia.
* Mirror surface free of scratches, wooden frame retouched with rose gold paint matching original.
* Originally from Tapas Hotel
* 162 (H) x 84 (W) x 3 (D)",
Oval Table (3-Drawer),Table,130,6,"* Teak wood side table from Java, Indonesia.
* Handcrafted by Javanese craftsmen, firmly held together with traditional butt joints to retain the old school charm of the furniture. On top of that, the butt joints are further reinforced with epoxy resin and nailed in for extra security.
* Varnish touchups done in-house, some tables have minor chipped corners on inconspicuous parts of the table. 
* Originally from closed Begia Hotel in Indonesia
* 72 (H) x 41 (W) x 34 (D)",
Vintage Sewing Machine Table,Table,260,1,"* Grade A Oak sewing table made locally in Singapore in the 80s.
* Condition: 7/10
* Minor scratches and weathering, retouched in-house
* Originally from local residence
* 78 (H) x 86 (W) x 45 (D)",
Nishigishi Chair,Chair,522,4,"* Original Pine wood chair set of 4 made by Nishigishi Furniture in Kyoto
* Condition 9/10
Minor scratches and weather, retouched in-house
* Originally from local Japanese residence
* 78 (H) x 60 (W) x 48 (D); 43 (Seat Height and Depth)",
Design Toscano Verona Filigree Bench,Chair,790,1,"* Hand-crafted Mahogany bench by Design Toscano
* Condition: 9/10
*Originally from Johor residence
78 (H) x 126 (W) x 47 (D); 43 (Seat Depth)
",
Nanyang Vintage Chair,Chair,450,2,"* Old Nanyang style arm chair
* Condition 9/10
* Originally from local residence
* 69 (H) x 60 (W) x 48 (D); 43 (Seat Depth)",
Teak Motif Java Cabinet ,Cabinet,1100,1,"* Teak Motif Java Cabinet, made in Yogyakarta by local artisans 
",
Antique Brass Gothic Standing Lantern,Wares,40,6,"* Old Brass Standing and Hanging Lantern
* Condition 7/10, Metal surface with natural patina. Door is fixed with new hinges
* Originally from local residence
* 24 (H) x 14 (W) x 14 (L); 0.7kg ",
Antique Brass Hanging Lantern,Wares,40,6,"* Old Brass Hanging Lantern
* Condition 8/10, Metal surface with natural patina. Door is fixed with new hinges
* Originally from local residence
* 35 (H) x 16 (W) x 16 (L); 0.9kg ",
